Brand, Product_Name, Current_Price, Average_Rating, Rating_Amount, Original_Price, Offers, Shipping
EVGA, EVGA GeForce RTX 2080 Ti DirectX 12 11G-P4-2281-KR BLACK EDITION GAMING Video Card, Dual HDB Fans & RGB LED, $1,099.99, 5, 13, $N/A, 16 Offers, Free Shipping
ASUS, ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-8G-GAMING Video Card, $489.99, 5, 2, $N/A, 6 Offers, Free Shipping
EVGA, EVGA GeForce RTX 2060 SC Ultra GAMING, 06G-P4-2067-KR, 6GB GDDR6, Dual HDB Fans, $349.99, 5, 5, $N/A, 11 Offers, Free Shipping
GIGABYTE, GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card, $139.99, 4, 53, $N/A, 18 Offers, Free Shipping
GIGABYTE, GIGABYTE GeForce RTX 2070 DirectX 12 GV-N2070WF2-8GD Video Card, $479.99, N/A, N/A, $N/A, N/A, Free Shipping
PowerColor, PowerColor RED DRAGON Radeon RX 580 DirectX 12 AXRX 580 8GBD5-3DHDV2/OC Video Card, $179.99, 3, 86, $N/A, 4 Offers, Free Shipping
MSI, MSI GeForce RTX 2080 DirectX 12 RTX 2080 VENTUS 8G OC Video Card, $739.99, 5, 15, $769.99, 16 Offers, Free Shipping
ZOTAC, ZOTAC GAMING GeForce GTX 1660 Ti 6GB GDDR6 192-bit Gaming Graphics Card, Super Compact, ZT-T16610F-10L, $279.99, 5, 4, $N/A, 5 Offers, Free Shipping
ASUS, ASUS GeForce GTX 1050 Ti 4GB PHOENIX Fan Edition DVI-D HDMI DP 1.4 Gaming Graphics Card (PH-GTX1050Ti-4G), $159.99, 4, 21, $N/A, 17 Offers, Free Shipping
MSI, MSI Radeon RX Vega 56 DirectX 12 RX Vega 56 Air Boost 8G OC Video Card, $309.99, 4, 33, $N/A, N/A, Free Shipping
XFX, XFX Radeon RX 590 Fatboy DirectX 12 RX-590P8DFD6 8GB 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card, $219.99, 4, 40, $N/A, 10 Offers, Free Shipping
ZOTAC, ZOTAC GAMING GeForce RTX 2080 AMP 8GB GDDR6 256-bit Gaming Graphics Card, Active Fan Control, Metal Backplate, Spectra Lighting (ZT-T20800D-10P), $749.99, 3, 9, $N/A, 8 Offers, Free Shipping
